,Año,Trimestre,Accesos por cada 100 hogares,Accesos por cada 100 hab,Periodo
0,2022,4,77.21,24.15,Oct-Dic 2022
1,2022,3,76.64,23.95,Jul-Sept 2022
2,2022,2,75.96542437191371,23.7204423164287,Abr-Jun 2022
3,2022,1,73.87880284452622,23.049171038697732,Ene-Mar 2022
4,2021,4,73.17639652814779,22.810702052174992,Oct-Dic 2021
5,2021,3,70.57885341443017,21.982550082706407,Jul-Sept 2021
6,2021,2,69.24018269199719,21.54793892759205,Abr-Jun 2021
7,2021,1,67.94587638885211,21.127831812160064,Ene-Mar 2021
8,2020,4,67.62233866155619,21.010191748284452,Oct-Dic 2020
9,2020,3,66.31,20.59,Jul-Sept 2020
10,2020,2,64.21000287666993,19.918402765295003,Abr-Jun 2020
11,2020,1,62.85636111359369,19.483264768615577,Ene-Mar 2020
12,2019,4,62.91991182091471,19.48790008712971,Oct-Dic 2019
13,2019,3,65.7879845391111,20.360660718556826,Jul-Sept 2019
14,2019,2,64.53,19.96,Abr-Jun 2019
15,2019,1,62.47916610977176,19.307906741229864,Ene-Mar 2019
16,2018,4,61.41580723435766,18.97,Oct-Dic 2018
17,2018,3,60.69,18.73,Jul-Sept 2018
18,2018,2,59.1620687879326,18.24,Abr-Jun 2018
19,2018,1,58.82,18.12,Ene-Mar 2018
20,2017,4,57.782350963183326,17.7929770681446,Oct-Dic 2017
21,2017,3,56.89922141223151,17.5090322340829,Jul-Sept 2017
22,2017,2,54.901190659837084,16.8829367167329,Abr-Jun 2017
23,2017,1,54.16211582414749,16.6445653587914,Ene-Mar 2017
24,2016,4,53.93601866428618,16.564000030973244,Oct-Dic 2016
25,2016,3,53.73418622887769,16.504675674002662,Jul-Sept 2016
26,2016,2,53.342201152611636,16.371351499331684,Abr-Jun 2016
27,2016,1,51.84545169695796,15.901801868833909,Ene-Mar 2016
28,2015,4,52.63088750448939,16.122696946278083,Oct-Dic 2015
29,2015,3,52.45910622153948,16.050289147694723,Jul-Sept 2015
30,2015,2,51.760266081540586,15.8172335655737,Abr-Jun 2015
31,2015,1,51.36458636223469,15.677234003379093,Ene-Mar 2015
32,2014,4,50.49978847426527,15.394676968457423,Oct-Dic 2014
33,2014,3,50.67236813472314,15.428768804428332,Jul-Sept 2014
34,2014,2,49.861428437657636,15.163908007906054,Abr-Jun 2014
35,2014,1,49.545821345016996,15.050103872893196,Ene-Mar 2014
