,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Región
0,2022,4,Buenos Aires,78.94,Región Buenos Aires
1,2022,4,Capital Federal,122.73,Región AMBA
2,2022,4,Catamarca,65.77,Región NOA
3,2022,4,Chaco,43.62,Región NEA
4,2022,4,Chubut,85.57,Región Patagonia
5,2022,4,Córdoba,89.03,Región Centro
6,2022,4,Corrientes,51.64,Región NEA
7,2022,4,Entre Ríos,64.01,Región Centro
8,2022,4,Formosa,39.41,Región NEA
9,2022,4,Jujuy,58.46,Región NOA
10,2022,4,La Pampa,94.8,Región Patagonia
11,2022,4,La Rioja,79.86,Región Cuyo
12,2022,4,Mendoza,51.36,Región Cuyo
13,2022,4,Misiones,52.85,Región NEA
14,2022,4,Neuquén,78.67,Región Patagonia
15,2022,4,Río Negro,68.42,Región Patagonia
16,2022,4,Salta,57.96,Región NOA
17,2022,4,San Juan,50.88,Región Cuyo
18,2022,4,San Luis,90.27,Región Cuyo
19,2022,4,Santa Cruz,43.53,Región Patagonia
20,2022,4,Santa Fe,78.4,Región Centro
21,2022,4,Santiago Del Estero,48.05,Región NOA
22,2022,4,Tierra Del Fuego,101.44,Región Patagonia
23,2022,4,Tucumán,61.04,Región NOA
24,2022,3,Buenos Aires,78.11,Región Buenos Aires
25,2022,3,Capital Federal,122.28,Región AMBA
26,2022,3,Catamarca,65.33,Región NOA
27,2022,3,Chaco,43.86,Región NEA
28,2022,3,Chubut,84.38,Región Patagonia
29,2022,3,Córdoba,88.31,Región Centro
30,2022,3,Corrientes,48.21,Región NEA
31,2022,3,Entre Ríos,63.67,Región Centro
32,2022,3,Formosa,43.76,Región NEA
33,2022,3,Jujuy,58.91,Región NOA
34,2022,3,La Pampa,96.59,Región Patagonia
35,2022,3,La Rioja,80.66,Región Cuyo
36,2022,3,Mendoza,51.03,Región Cuyo
37,2022,3,Misiones,51.82,Región NEA
38,2022,3,Neuquén,80.37,Región Patagonia
39,2022,3,Río Negro,67.98,Región Patagonia
40,2022,3,Salta,57.76,Región NOA
41,2022,3,San Juan,50.8,Región Cuyo
42,2022,3,San Luis,81.74,Región Cuyo
43,2022,3,Santa Cruz,43.19,Región Patagonia
44,2022,3,Santa Fe,78.55,Región Centro
45,2022,3,Santiago Del Estero,47.98,Región NOA
46,2022,3,Tierra Del Fuego,99.51,Región Patagonia
47,2022,3,Tucumán,61.14,Región NOA
48,2022,2,Buenos Aires,77.58,Región Buenos Aires
49,2022,2,Capital Federal,121.31,Región AMBA
50,2022,2,Catamarca,62.4,Región NOA
51,2022,2,Chaco,43.79,Región NEA
52,2022,2,Chubut,83.19,Región Patagonia
53,2022,2,Córdoba,87.48,Región Centro
54,2022,2,Corrientes,48.35,Región NEA
55,2022,2,Entre Ríos,63.9,Región Centro
56,2022,2,Formosa,43.42,Región NEA
57,2022,2,Jujuy,57.32,Región NOA
58,2022,2,La Pampa,92.98,Región Patagonia
59,2022,2,La Rioja,80.14,Región Cuyo
60,2022,2,Mendoza,49.39,Región Cuyo
61,2022,2,Misiones,51.0,Región NEA
62,2022,2,Neuquén,80.02,Región Patagonia
63,2022,2,Río Negro,67.85,Región Patagonia
64,2022,2,Salta,57.54,Región NOA
65,2022,2,San Juan,49.46,Región Cuyo
66,2022,2,San Luis,81.76,Región Cuyo
67,2022,2,Santa Cruz,43.15,Región Patagonia
68,2022,2,Santa Fe,77.9,Región Centro
69,2022,2,Santiago Del Estero,47.7,Región NOA
70,2022,2,Tierra Del Fuego,99.86,Región Patagonia
71,2022,2,Tucumán,59.31,Región NOA
72,2022,1,Buenos Aires,76.07814661157262,Región Buenos Aires
73,2022,1,Capital Federal,111.79786269174652,Región AMBA
74,2022,1,Catamarca,58.20635083561171,Región NOA
75,2022,1,Chaco,44.05948009941883,Región NEA
76,2022,1,Chubut,88.05274093835774,Región Patagonia
77,2022,1,Córdoba,85.75745356313551,Región Centro
78,2022,1,Corrientes,47.644635141502334,Región NEA
79,2022,1,Entre Ríos,63.70090347123158,Región Centro
80,2022,1,Formosa,34.955686995751336,Región NEA
81,2022,1,Jujuy,58.06462866426784,Región NOA
82,2022,1,La Pampa,91.66332531408715,Región Patagonia
83,2022,1,La Rioja,78.77459866564503,Región Cuyo
84,2022,1,Mendoza,48.73524093558345,Región Cuyo
85,2022,1,Misiones,49.04334199772953,Región NEA
86,2022,1,Neuquén,74.17305509992715,Región Patagonia
87,2022,1,Río Negro,67.03640754987029,Región Patagonia
88,2022,1,Salta,56.10759340849759,Región NOA
89,2022,1,San Juan,43.54598160933163,Región Cuyo
90,2022,1,San Luis,80.72423060601774,Región Cuyo
91,2022,1,Santa Cruz,43.33842311053054,Región Patagonia
92,2022,1,Santa Fe,77.30458474758402,Región Centro
93,2022,1,Santiago Del Estero,47.17273839324049,Región NOA
94,2022,1,Tierra Del Fuego,98.29055038672794,Región Patagonia
95,2022,1,Tucumán,57.39003227231194,Región NOA
96,2021,4,Buenos Aires,75.66410602338475,Región Buenos Aires
97,2021,4,Capital Federal,111.27002612891737,Región AMBA
98,2021,4,Catamarca,55.2526999859741,Región NOA
99,2021,4,Chaco,44.04856389025934,Región NEA
100,2021,4,Chubut,82.57340063871433,Región Patagonia
101,2021,4,Córdoba,84.50941853046088,Región Centro
102,2021,4,Corrientes,45.51016102946347,Región NEA
103,2021,4,Entre Ríos,63.155361436165784,Región Centro
104,2021,4,Formosa,34.4545746388443,Región NEA
105,2021,4,Jujuy,56.921070514870486,Región NOA
106,2021,4,La Pampa,89.56734270241313,Región Patagonia
107,2021,4,La Rioja,77.9234900964576,Región Cuyo
108,2021,4,Mendoza,47.505317090317746,Región Cuyo
109,2021,4,Misiones,49.06462073058497,Región NEA
110,2021,4,Neuquén,73.30016254020012,Región Patagonia
111,2021,4,Río Negro,65.69489961160652,Región Patagonia
112,2021,4,Salta,56.81442605762217,Región NOA
113,2021,4,San Juan,39.588851864871685,Región Cuyo
114,2021,4,San Luis,80.29578283135379,Región Cuyo
115,2021,4,Santa Cruz,43.05121466117346,Región Patagonia
116,2021,4,Santa Fe,77.08920179439227,Región Centro
117,2021,4,Santiago Del Estero,47.0459491943867,Región NOA
118,2021,4,Tierra Del Fuego,98.40061644865433,Región Patagonia
119,2021,4,Tucumán,55.92599102424391,Región NOA
120,2021,3,Buenos Aires,71.68218940101933,Región Buenos Aires
121,2021,3,Capital Federal,111.27105514250894,Región AMBA
122,2021,3,Catamarca,52.709793486001274,Región NOA
123,2021,3,Chaco,42.96241007967663,Región NEA
124,2021,3,Chubut,80.70973847657562,Región Patagonia
125,2021,3,Córdoba,81.2845665540848,Región Centro
