,Provincia,Año,Accesos por cada 100 hogares,Objetivo
0,Buenos Aires,2014,55.62014138128556,58.957349864162694
1,Buenos Aires,2015,57.28844820701918,60.72575509944033
2,Buenos Aires,2016,59.513579374661056,63.08439413714072
3,Buenos Aires,2017,57.0212863241231,60.44256350357049
4,Buenos Aires,2018,63.612973101249516,67.42975148732448
5,Buenos Aires,2019,66.92451224858888,70.93998298350422
6,Buenos Aires,2020,66.54485579646845,70.53754714425656
7,Buenos Aires,2021,71.61370988663579,75.91053247983393
8,Buenos Aires,2022,77.67703665289315,82.33765885206674
9,Capital Federal,2014,113.52368827627767,120.33510957285432
10,Capital Federal,2015,116.84571061084107,123.85645324749153
11,Capital Federal,2016,119.15095085611004,126.30000790747664
12,Capital Federal,2017,119.29658805476915,126.4543833380553
13,Capital Federal,2018,107.37241927703217,113.81476443365409
14,Capital Federal,2019,109.65814671695554,116.23763551997287
15,Capital Federal,2020,107.09548904718073,113.52121839001158
16,Capital Federal,2021,110.2763556317102,116.89293696961282
17,Capital Federal,2022,119.52946567293662,126.70123361331282
18,Catamarca,2014,24.793692625679896,26.28131418322069
19,Catamarca,2015,25.666529337178808,27.206521097409535
20,Catamarca,2016,26.252149597089193,27.827278572914544
21,Catamarca,2017,28.187086919383788,29.878312134546814
22,Catamarca,2018,32.69810213625942,34.659988264434986
23,Catamarca,2019,32.91087070755169,34.88552295000479
24,Catamarca,2020,44.902807099736954,47.59697552572117
25,Catamarca,2021,52.300474015615556,55.43850245655249
26,Catamarca,2022,62.92658770890293,66.70218297143711
27,Chaco,2014,21.164996284207483,22.43489606125993
28,Chaco,2015,27.606942409331463,29.263358953891352
29,Chaco,2016,28.591525539177795,30.307017071528463
30,Chaco,2017,29.612817268193872,31.389586304285505
31,Chaco,2018,31.73892358778619,33.64325900305336
32,Chaco,2019,34.86441179127508,36.956276498751585
33,Chaco,2020,40.47226134677067,42.900597027576914
34,Chaco,2021,43.36877341998982,45.970899825189214
35,Chaco,2022,43.832370024854704,46.462312226345986
36,Chubut,2014,40.87334338210355,43.32574398502976
37,Chubut,2015,36.97430902074796,39.19276756199284
38,Chubut,2016,36.11717277161968,38.28420313791686
39,Chubut,2017,42.22167628772977,44.75497686499356
40,Chubut,2018,51.90514754203964,55.01945639456202
41,Chubut,2019,47.17424498788186,50.004699687154776
42,Chubut,2020,61.32722503044729,65.00685853227412
43,Chubut,2021,76.14288120570284,80.71145407804501
44,Chubut,2022,85.29818523458943,90.41607634866479
45,Corrientes,2014,22.810573936252503,24.179208372427652
46,Corrientes,2015,29.759511951093906,31.54508266815954
47,Corrientes,2016,30.67722406332462,32.5178575071241
48,Corrientes,2017,31.751818883781176,33.656928016808045
49,Corrientes,2018,33.8223575561286,35.851699009496315
50,Corrientes,2019,37.635841224076344,39.893991697520924
51,Corrientes,2020,40.80321900986003,43.25141215045163
52,Corrientes,2021,44.154084082153446,46.803329127082655
53,Corrientes,2022,48.96115878537559,51.898828312498125
54,Córdoba,2014,53.72412018398866,56.94756739502798
55,Córdoba,2015,56.253698891324504,59.62892082480398
56,Córdoba,2016,57.1929021811094,60.62447631197597
57,Córdoba,2017,60.56662160147977,64.20061889756855
58,Córdoba,2018,64.03072515665725,67.8725686660567
59,Córdoba,2019,68.16599953445909,72.25595950652664
60,Córdoba,2020,74.17540643660219,78.62593082279832
61,Córdoba,2021,81.12486341691456,85.99235522192944
62,Córdoba,2022,87.64436339078388,92.9030251942309
63,Entre Ríos,2014,35.015418094597706,37.11634318027357
64,Entre Ríos,2015,43.195725524558796,45.78746905603232
65,Entre Ríos,2016,44.807096607249974,47.49552240368497
66,Entre Ríos,2017,46.034992919803116,48.797092494991304
67,Entre Ríos,2018,50.62015040829062,53.657359432788056
68,Entre Ríos,2019,57.53967773135703,60.99205839523845
69,Entre Ríos,2020,57.580796526871765,61.035644318484074
70,Entre Ríos,2021,61.858619270788424,65.57013642703573
71,Entre Ríos,2022,63.82022586780789,67.64943941987636
72,Formosa,2014,17.67162225684596,18.73191959225672
73,Formosa,2015,18.596303542455495,19.712081755002824
74,Formosa,2016,19.224973353756425,20.37847175498181
75,Formosa,2017,20.607231673307083,21.843665573705508
76,Formosa,2018,27.53791234155172,29.190187082044822
77,Formosa,2019,30.16991927892419,31.98011443565964
78,Formosa,2020,31.440186351663307,33.3265975327631
79,Formosa,2021,33.59376203227049,35.60938775420672
80,Formosa,2022,40.386421748937835,42.8096070538741
81,Jujuy,2014,18.772341460595687,19.898681948231427
82,Jujuy,2015,20.6796849628045,21.92046606057277
83,Jujuy,2016,22.138708401409733,23.46703090549432
84,Jujuy,2017,22.636962142051498,23.99517987057459
85,Jujuy,2018,29.08735753351358,30.832598985524392
86,Jujuy,2019,45.15509867641424,47.864404596999094
87,Jujuy,2020,50.51476283499463,53.54564860509431
88,Jujuy,2021,56.10623504168427,59.47260914418533
89,Jujuy,2022,58.18865716606696,61.679976596030976
90,La Pampa,2014,51.29681309733984,54.37462188318023
91,La Pampa,2015,57.23399862591893,60.66803854347406
