,Año,Trimestre,Provincia,Mbps (Media de bajada),Región
0,2022,4,Buenos Aires,111.0,Región Buenos Aires
1,2022,4,Capital Federal,182.86,Región AMBA
2,2022,4,Catamarca,83.33,Región NOA
3,2022,4,Chaco,104.02,Región NEA
4,2022,4,Chubut,15.92,Región Patagonia
5,2022,4,Córdoba,108.77,Región Centro
6,2022,4,Corrientes,94.72,Región NEA
7,2022,4,Entre Ríos,87.47,Región Centro
8,2022,4,Formosa,72.03,Región NEA
9,2022,4,Jujuy,39.32,Región NOA
10,2022,4,La Pampa,19.1,Región Patagonia
11,2022,4,La Rioja,61.0,Región Cuyo
12,2022,4,Mendoza,38.76,Región Cuyo
13,2022,4,Misiones,91.24,Región NEA
14,2022,4,Neuquén,95.37,Región Patagonia
15,2022,4,Río Negro,75.31,Región Patagonia
16,2022,4,Salta,75.93,Región NOA
17,2022,4,San Juan,16.39,Región Cuyo
18,2022,4,San Luis,30.67,Región Cuyo
19,2022,4,Santa Cruz,14.33,Región Patagonia
20,2022,4,Santa Fe,90.3,Región Centro
21,2022,4,Santiago Del Estero,34.4,Región NOA
22,2022,4,Tierra Del Fuego,13.48,Región Patagonia
23,2022,4,Tucumán,88.33,Región NOA
24,2022,3,Buenos Aires,70.19,Región Buenos Aires
25,2022,3,Capital Federal,101.05,Región AMBA
26,2022,3,Catamarca,60.99,Región NOA
27,2022,3,Chaco,53.21,Región NEA
28,2022,3,Chubut,15.57,Región Patagonia
29,2022,3,Córdoba,56.32,Región Centro
30,2022,3,Corrientes,45.07,Región NEA
31,2022,3,Entre Ríos,42.49,Región Centro
32,2022,3,Formosa,30.35,Región NEA
33,2022,3,Jujuy,32.43,Región NOA
34,2022,3,La Pampa,18.1,Región Patagonia
35,2022,3,La Rioja,44.3,Región Cuyo
36,2022,3,Mendoza,34.16,Región Cuyo
37,2022,3,Misiones,49.3,Región NEA
38,2022,3,Neuquén,47.81,Región Patagonia
39,2022,3,Río Negro,34.13,Región Patagonia
40,2022,3,Salta,41.33,Región NOA
41,2022,3,San Juan,15.84,Región Cuyo
42,2022,3,San Luis,19.33,Región Cuyo
43,2022,3,Santa Cruz,12.6,Región Patagonia
44,2022,3,Santa Fe,45.15,Región Centro
45,2022,3,Santiago Del Estero,17.69,Región NOA
46,2022,3,Tierra Del Fuego,11.01,Región Patagonia
47,2022,3,Tucumán,53.36,Región NOA
48,2022,2,Buenos Aires,65.5,Región Buenos Aires
49,2022,2,Capital Federal,93.97,Región AMBA
50,2022,2,Catamarca,56.56,Región NOA
51,2022,2,Chaco,50.61,Región NEA
52,2022,2,Chubut,14.91,Región Patagonia
53,2022,2,Córdoba,53.51,Región Centro
54,2022,2,Corrientes,43.31,Región NEA
55,2022,2,Entre Ríos,40.03,Región Centro
56,2022,2,Formosa,28.47,Región NEA
57,2022,2,Jujuy,29.39,Región NOA
58,2022,2,La Pampa,16.07,Región Patagonia
59,2022,2,La Rioja,43.28,Región Cuyo
60,2022,2,Mendoza,29.72,Región Cuyo
61,2022,2,Misiones,46.23,Región NEA
62,2022,2,Neuquén,46.53,Región Patagonia
63,2022,2,Río Negro,33.26,Región Patagonia
64,2022,2,Salta,38.77,Región NOA
65,2022,2,San Juan,14.44,Región Cuyo
66,2022,2,San Luis,19.32,Región Cuyo
67,2022,2,Santa Cruz,11.81,Región Patagonia
68,2022,2,Santa Fe,42.01,Región Centro
69,2022,2,Santiago Del Estero,16.34,Región NOA
70,2022,2,Tierra Del Fuego,10.97,Región Patagonia
71,2022,2,Tucumán,50.09,Región NOA
72,2022,1,Buenos Aires,62.51,Región Buenos Aires
73,2022,1,Capital Federal,88.22,Región AMBA
74,2022,1,Catamarca,51.22,Región NOA
75,2022,1,Chaco,45.84,Región NEA
76,2022,1,Chubut,13.4,Región Patagonia
77,2022,1,Córdoba,49.89,Región Centro
78,2022,1,Corrientes,38.11,Región NEA
79,2022,1,Entre Ríos,35.59,Región Centro
80,2022,1,Formosa,30.28,Región NEA
81,2022,1,Jujuy,27.69,Región NOA
82,2022,1,La Pampa,14.84,Región Patagonia
83,2022,1,La Rioja,41.37,Región Cuyo
84,2022,1,Mendoza,26.2,Región Cuyo
85,2022,1,Misiones,41.87,Región NEA
86,2022,1,Neuquén,43.05,Región Patagonia
87,2022,1,Río Negro,31.09,Región Patagonia
88,2022,1,Salta,36.71,Región NOA
89,2022,1,San Juan,11.99,Región Cuyo
90,2022,1,San Luis,20.95,Región Cuyo
91,2022,1,Santa Cruz,10.89,Región Patagonia
92,2022,1,Santa Fe,38.89,Región Centro
93,2022,1,Santiago Del Estero,14.5,Región NOA
94,2022,1,Tierra Del Fuego,10.73,Región Patagonia
95,2022,1,Tucumán,47.24,Región NOA
96,2021,4,Buenos Aires,60.2091238315554,Región Buenos Aires
97,2021,4,Capital Federal,82.94995496542248,Región AMBA
98,2021,4,Catamarca,46.380057758939095,Región NOA
99,2021,4,Chaco,42.342637514688604,Región NEA
100,2021,4,Chubut,9.082660638555467,Región Patagonia
101,2021,4,Córdoba,46.36090745799214,Región Centro
102,2021,4,Corrientes,35.772659194287044,Región NEA
103,2021,4,Entre Ríos,33.31712584167462,Región Centro
104,2021,4,Formosa,28.75764894769421,Región NEA
105,2021,4,Jujuy,27.144343038417077,Región NOA
106,2021,4,La Pampa,13.853882842854395,Región Patagonia
107,2021,4,La Rioja,39.69594513667998,Región Cuyo
108,2021,4,Mendoza,22.23158340100516,Región Cuyo
109,2021,4,Misiones,38.903349250907574,Región NEA
110,2021,4,Neuquén,40.092530111167584,Región Patagonia
111,2021,4,Río Negro,27.20317045489215,Región Patagonia
112,2021,4,Salta,33.940639744985226,Región NOA
113,2021,4,San Juan,11.052749308157779,Región Cuyo
114,2021,4,San Luis,20.90972444801464,Región Cuyo
115,2021,4,Santa Cruz,8.990650984477549,Región Patagonia
116,2021,4,Santa Fe,36.024023837275145,Región Centro
117,2021,4,Santiago Del Estero,13.84088684951507,Región NOA
118,2021,4,Tierra Del Fuego,10.696704944050465,Región Patagonia
119,2021,4,Tucumán,45.14812243339947,Región NOA
120,2021,3,Buenos Aires,56.25755092469591,Región Buenos Aires
121,2021,3,Capital Federal,77.71207106907312,Región AMBA
122,2021,3,Catamarca,43.43333599763174,Región NOA
123,2021,3,Chaco,39.113135809207584,Región NEA
124,2021,3,Chubut,8.176860363136605,Región Patagonia
125,2021,3,Córdoba,41.92778724566202,Región Centro
126,2021,3,Corrientes,32.16890082785829,Región NEA
127,2021,3,Entre Ríos,29.60123187949277,Región Centro
128,2021,3,Formosa,26.689426784946654,Región NEA
129,2021,3,Jujuy,25.980702520297545,Región NOA
130,2021,3,La Pampa,12.99161507240359,Región Patagonia
131,2021,3,La Rioja,38.86795185445044,Región Cuyo
132,2021,3,Mendoza,13.365156173184467,Región Cuyo
133,2021,3,Misiones,30.87871831426499,Región NEA
134,2021,3,Neuquén,38.34222315428742,Región Patagonia
135,2021,3,Río Negro,25.400065197148727,Región Patagonia
136,2021,3,Salta,31.209681857038827,Región NOA
137,2021,3,San Juan,7.041300820394967,Región Cuyo
138,2021,3,San Luis,21.69870707116376,Región Cuyo
139,2021,3,Santa Cruz,7.692326941812981,Región Patagonia
140,2021,3,Santa Fe,33.13229624738131,Región Centro
141,2021,3,Santiago Del Estero,13.352723533519553,Región NOA
142,2021,3,Tierra Del Fuego,9.52,Región Patagonia
143,2021,3,Tucumán,42.10118530571482,Región NOA
144,2021,2,Buenos Aires,52.75542937003713,Región Buenos Aires
145,2021,2,Capital Federal,72.74675003231476,Región AMBA
146,2021,2,Catamarca,42.18506376779111,Región NOA
147,2021,2,Chaco,37.396909596222066,Región NEA
148,2021,2,Chubut,7.67690621713348,Región Patagonia
149,2021,2,Córdoba,39.59011648994794,Región Centro
150,2021,2,Corrientes,30.368054802005656,Región NEA
151,2021,2,Entre Ríos,27.61897306203556,Región Centro
152,2021,2,Formosa,23.96630452806761,Región NEA
153,2021,2,Jujuy,25.812477856862227,Región NOA
154,2021,2,La Pampa,12.27922373804818,Región Patagonia
155,2021,2,La Rioja,38.534894383007746,Región Cuyo
156,2021,2,Mendoza,13.465987205003026,Región Cuyo
157,2021,2,Misiones,28.682221735396933,Región NEA
